country,completion_male,completion_female,income_per_person,employment,life_expectancy
Argentina,97.91143,102.10666,9.465967473,58.40000153,75.5
Armenia,91.53127,94.58897,8.749288398,39.40000153,72.2
Austria,100.63802,101.12819,10.65671417,57.09999847,80
Azerbaijan,91.68856,90.66259,9.264091121,59.29999924,69.9
Bahamas,99.76959,96.84352,10.13323776,66.90000153,72.1
Barbados,92.61939,93.54322,9.66650227,66.40000153,75.1
Belarus,95.96147,92.8244,9.377422876,53.70000076,69.2
Belgium,88.84928,90.7742,10.61508601,48.20000076,79.3
Belize,102.6911,89.21952,9.031667704,57.5,70.8
Bhutan,72.70079,72.78407,8.46292875,59.59999847,66.9
Bolivia,102.67834,100.6494,8.476295688,70.09999847,70.3
Botswana,94.11288,100.60235,9.465449735,45.5,57.5
Brunei,113.7737,118.06096,11.24721412,64.09999847,77.4
Bulgaria,97.95108,98.09996,9.498872398,47.79999924,72.7
Burkina Faso,34.483,27.23575,7.175433521,81.19999695,57.7
Cambodia,90.30289,89.3853,7.654714221,78.40000153,65.2
Cameroon,57.14797,48.57237,7.844317961,59.70000076,55.7
Canada,95.98202,95.51185,10.62668753,62.5,80.5
Cape Verde,96.34757,102.34506,8.523690743,55.5,72.2
Chad,42.08027,22.11208,7.537504476,69,53.7
Colombia,107.91535,111.75842,9.173343529,61.5,74.5
"Congo, Rep.",81.12426,74.07495,8.515644179,64.30000305,57.2
Costa Rica,88.92221,92.11125,9.327070077,57.90000153,79.2
Cote d'Ivoire,56.43557,34.669,7.941213533,60,54.4
Croatia,97.06999,95.62848,9.948517722,46.5,76.3
Cuba,90.47517,90.13634,9.665211399,56.09999847,77.4
Cyprus,100.89286,101.41141,10.36179894,58.59999847,80.7
Denmark,101.64599,102.23493,10.71246001,63.40000153,78.3
Ecuador,105.77417,106.07211,9.070114993,59.70000076,73.8
Egypt,93.79192,90.12925,9.104431007,41.90000153,70
El Salvador,83.95199,85.40846,8.872883928,58,73.4
Eritrea,56.33664,41.85209,7.140908437,65,59.5
Estonia,102.08279,98.04493,10.07427972,55.20000076,72.8
Ethiopia,52.8414,41.93541,6.678998413,80.09999847,57.7
Fiji,110.92981,111.07262,8.914158359,56.5,65.4
Finland,97.059,96.85767,10.60115648,56.59999847,79
Gambia,65.99393,64.99491,7.307449349,71.59999847,61.6
Georgia,84.42441,83.25465,8.536518513,55.09999847,72.4
Germany,98.70083,99.2409,10.58812549,52.79999924,79.7
Ghana,73.04938,69.70583,7.869484044,65,61.8
Greece,103.61986,102.58845,10.3521768,49,79.2
Guatemala,80.619,72.79787,8.802684301,62.29999924,69.9
Guinea,72.87478,52.85429,7.087834591,81.59999847,57.6
Guyana,103.4659,106.67855,8.466218151,58.90000153,63
Honduras,86.41905,91.7316,8.330056707,57.09999847,70.4
"Hong Kong, China",101.1414,99.53676,10.67930508,58.29999924,82.124
Hungary,99.28682,98.78071,10.05457581,47.29999924,73.2
Iceland,97.52724,101.67327,10.66372005,74.59999847,81.5
India,89.25894,83.84568,8.176560402,55.70000076,63.6
Indonesia,95.73894,95.94191,8.822841111,59.70000076,69.1
Iran,100.14115,98.10947,9.517514995,47.09999847,75.4
Israel,102.19921,103.32075,10.18770272,51.09999847,80.2
Italy,99.32794,98.39106,10.55102146,45.59999847,81.2
Jordan,101.46418,103.82431,9.192079334,39.20000076,75.1
Kazakhstan,103.07784,104.26074,9.742617881,62.79999924,65.1
Kuwait,102.79057,106.46714,11.53044346,65.69999695,78
Latvia,93.00693,91.05901,9.900620268,56.5,70.9
Lebanon,82.9449,87.07596,9.386066664,46,76.8
Lesotho,62.49486,89.04591,7.554775305,58.5,44
Lithuania,92.97615,93.3611,9.866370726,52.70000076,71.1
"Macao, China",100.37605,102.64068,11.17877459,64.19999695,78.886
Madagascar,58.29241,58.03015,7.245744507,84.09999847,62.7
Malawi,58.20969,58.32552,6.40304852,71.69999695,49.3
Maldives,133.17733,130.28603,9.08995891,55.79999924,77.3
Mali,53.49708,37.41011,7.349242661,45.59999847,54.8
Mauritania,45.37206,44.24076,7.909027018,47.40000153,63
Mauritius,90.66097,93.76315,9.47532355,53.5,72.1
Mexico,100.07284,101.34438,9.677542096,59.29999924,75.8
Mongolia,109.77474,109.53153,8.672546137,52,62.5
Morocco,87.47829,80.26943,8.652640592,46.90000153,72.8
Mozambique,48.45195,34.20186,6.646684253,77.09999847,54.1
Namibia,77.91099,86.50668,8.958043505,41.79999924,53.2
Nicaragua,72.12001,78.43628,8.249097691,58.20000076,74.8
Niger,38.48075,25.87356,6.674577135,60.40000153,58.3
Nigeria,101.28439,80.51109,8.347696707,51,57.2
Norway,96.74694,98.60849,11.06725059,64.19999695,80.4
Pakistan,69.14668,51.43498,8.298760978,50.59999847,63.6
Panama,93.66881,93.79092,9.361851019,58,77.2
Paraguay,93.51928,94.69324,8.739353446,72.5,73.5
Peru,101.99261,101.44217,8.996080719,67.80000305,76.5
Philippines,88.42144,95.76413,8.503629879,59.40000153,69.1
Qatar,89.97718,87.12397,11.75050459,75.5,79.3
Moldova,98.39621,97.64873,8.152534907,45.09999847,69.4
Romania,100.24916,100.29841,9.679252703,51.09999847,73
Senegal,52.71254,48.69941,7.639392901,65.40000153,63.4
Slovak Republic,91.53316,90.02255,9.977585387,51.29999924,74.4
Spain,97.94532,97.5326,10.43198032,52.70000076,80.7
Sri Lanka,103.21631,103.95047,8.72443529,54.29999924,74.4
Suriname,83.55954,99.9548,9.47083598,45,68.7
Swaziland,64.31763,68.22978,8.621692094,51,44
Sweden,95.98507,95.93724,10.65607029,60.29999924,80.7
Switzerland,92.42555,95.08792,10.87640237,64.69999695,81.5
Syria,107.021,105.74349,8.680752434,44.79999924,76.1
Tajikistan,108.50036,103.99385,7.477146202,51.20000076,69
Tanzania,73.84133,71.47928,7.19181321,78.09999847,57.9
"Macedonia, FYR",94.28383,92.47784,9.189139327,34.59999847,75.1
Togo,87.66729,63.31738,7.097305091,64,59.4
Turkey,99.3479,93.4201,9.686151444,43.5,74.3
Ukraine,105.24323,104.55208,8.972057284,53.79999924,67.3
United Arab Emirates,98.03661,101.36929,11.47625876,75,75.6
United States,97.3215,99.09253,10.8328122,62.59999847,77.8
Uruguay,98.52292,100.97113,9.497197697,56.70000076,75.5
Uzbekistan,100.15548,98.4251,8.059924613,56.5,68.3
