country,completion_male,completion_female,income_per_person,employment,life_expectancy
Abkhazia,,,,56,53.2
Afghanistan,,,1193.282161,51.40000153,74.5
Akrotiri and Dhekelia,,,,50,74.8
Albania,,,8090.42328,75.5,
Algeria,,,12088.08762,58.40000153,83.2
American Samoa,,,,39.40000153,56.9
Andorra,,,42738.4,61.59999847,
Angola,,,5303.703307,57.09999847,74.4
Anguilla,,,,59.29999924,75.5
Antigua and Barbuda,,,24004.48659,66.90000153,72.2
Argentina,97.91143,102.10666,12912.71124,60.59999847,74.467
Armenia,91.53127,94.58897,6306.199009,68.59999847,81.4
Aruba,93.46734,90.94293,40209.28572,66.40000153,80
Australia,,,39281.07032,53.70000076,69.9
Austria,100.63802,101.12819,42476.83608,48.20000076,72.1
Azerbaijan,91.68856,90.66259,10552.21555,57.5,75.7
Bahamas,99.76959,96.84352,25165.71332,71.59999847,68.1
Bahrain,,,58761.7061,59.59999847,75.1
Bangladesh,,,2021.322895,70.09999847,69.2
Barbados,92.61939,93.54322,15780.058,41.09999847,79.3
Belarus,95.96147,92.8244,11818.51769,45.5,70.8
Belgium,88.84928,90.7742,40744.90224,64,62.1
Belize,102.6911,89.21952,8363.796287,64.09999847,
Benin,,,1586.261509,47.79999924,66.9
Bermuda,,,57029.8651,81.19999695,70.3
Bhutan,72.70079,72.78407,4735.907997,83.19999695,75.6
Bolivia,102.67834,100.6494,4799.637572,78.40000153,57.5
Bosnia and Herzegovina,,,8272.785741,59.70000076,73.7
Botswana,94.11288,100.60235,12906.02758,62.5,
Brazil,,,12178.79118,55.5,77.4
British Virgin Islands,,,,71.30000305,72.7
Brunei,113.7737,118.06096,76666.03985,69,57.7
Bulgaria,97.95108,98.09996,13344.67086,52.59999847,55.3
Burkina Faso,34.483,27.23575,1306.926559,72.90000153,65.2
Burundi,,,665.9527863,61.5,55.7
Cambodia,90.30289,89.3853,2110.571875,67.90000153,80.5
Cameroon,57.14797,48.57237,2551.197053,64.30000305,72.2
Canada,95.98202,95.51185,41220.35779,66.40000153,
Cape Verde,96.34757,102.34506,5032.593534,57.90000153,49
Cayman Islands,,,56745.92645,60,53.7
Central African Republic,33.14412,20.63435,894.9416626,46.5,79.16
Chad,42.08027,22.11208,1877.139728,56.09999847,78.6
Channel Islands,,,,58.59999847,74.4
Chile,,,17569.95945,55,
China,,,7433.467739,63.40000153,
Christmas Island,,,,53.40000153,74.5
Cocos Island,,,,66.09999847,62.2
Colombia,107.91535,111.75842,9636.791775,59.70000076,54.6
Comoros,,,1459.483927,41.90000153,57.2
"Congo, Dem. Rep.",,,614.5983453,58,
"Congo, Rep.",81.12426,74.07495,4992.260936,62.5,79.2
Cook Is,,,,65,54.4
Costa Rica,88.92221,92.11125,11238.15627,55.20000076,76.3
Cote d'Ivoire,56.43557,34.669,2810.769402,80.09999847,77.4
Croatia,97.06999,95.62848,20921.18836,56.5,80.7
Cuba,90.47517,90.13634,15759.70113,56.59999847,76.6
Cyprus,100.89286,101.41141,31628.02701,50.70000076,78.3
Czech Republic,92.63111,91.20606,26886.79778,58.79999924,60.2
Czechoslovakia,,,,71.59999847,74.2
Denmark,101.64599,102.23493,44911.98716,55.09999847,72.2
Djibouti,39.09687,31.41961,2516.342194,52.79999924,73.8
Dominica,90.80158,95.02134,9023.981567,65,70
Dominican Republic,80.58648,87.28093,9262.851963,49,73.4
East Germany,,,,43.79999924,56.1
Ecuador,105.77417,106.07211,8691.623224,62.29999924,59.5
Egypt,93.79192,90.12925,8995.061709,81.59999847,72.8
El Salvador,83.95199,85.40846,7135.830545,66.19999695,57.7
Equatorial Guinea,,,33490.63747,58.90000153,
Eritrea,56.33664,41.85209,1262.574838,55.40000153,
Eritrea and Ethiopia,,,,57.09999847,65.4
Estonia,102.08279,98.04493,23724.88369,58.29999924,79
Ethiopia,52.8414,41.93541,795.5219286,47.29999924,80.7
Faeroe Islands,,,,74.59999847,75.654
Falkland Is (Malvinas),,,,55.70000076,74.484
Fiji,110.92981,111.07262,7436.52061,59.70000076,57.6
Finland,97.059,96.85767,40181.27924,47.09999847,61.6
France,,,36988.47479,37.29999924,72.4
French Guiana,,,,59.70000076,79.7
French Polynesia,,,,51.09999847,61.8
Gabon,,,14771.36804,45.59999847,
Gambia,65.99393,64.99491,1491.368373,59.09999847,79.2
Georgia,84.42441,83.25465,5097.566322,58,69.58
Germany,98.70083,99.2409,39661.07434,39.20000076,70.3
Ghana,73.04938,69.70583,2616.215389,62.79999924,78.946
Gibraltar,,,,73.19999695,76.957
Greece,103.61986,102.58845,31325.15715,64.69999695,69.9
Greenland,,,23031.1938,59.20000076,
Grenada,,,11365.74776,65.69999695,57.6
Guadeloupe,,,,58.40000153,50.9
Guam,,,,78.19999695,63
Guatemala,80.619,72.79787,6652.076237,56.5,60.7
Guernsey,,,,46,
Guinea,72.87478,52.85429,1197.312321,58.5,70.4
Guinea-Bissau,,,1350.518798,65.80000305,82.124
Guyana,103.4659,106.67855,4751.511948,48,73.2
Haiti,,,1563.982792,52.70000076,81.5
